       2
EngineId Iter/sec totalTime receiveTickWaitTime receiveCommutersWaitTime receiveMigratorsWaitTime sendCommutersWaitTime sendMigratorsWaitTime
Engine1 55.720776 19.36441 1026 1732 861 1 0
Engine2 55.60985 19.403036 1033 1438 1038 1 0
